"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"HGNC Symbol","HGNC ID","IUPHAR Name","IUPHAR ID","GtP URL"
"AAK1","19679","AP2 associated kinase 1","1921","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1921"
"AATK","21","apoptosis associated tyrosine kinase","1922","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1922"
"ABAT","23","4-aminobutyrate aminotransferase","2464","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2464"
"ABCA1","29","ABCA1","756","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=756"
"ABCA10","30","ABCA10","765","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=765"
"ABCA12","14637","ABCA12","766","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=766"
"ABCA13","14638","ABCA13","767","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=767"
"ABCA2","32","ABCA2","757","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=757"
"ABCA3","33","ABCA3","758","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=758"
"ABCA4","34","ABCA4","759","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=759"
"ABCA5","35","ABCA5","760","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=760"
"ABCA6","36","ABCA6","761","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=761"
"ABCA7","37","ABCA7","762","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=762"
"ABCA8","38","ABCA8","763","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=763"
"ABCA9","39","ABCA9","764","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=764"
"ABCB1","40","ABCB1","768","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=768"
"ABCB10","41","ABCB10","777","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=777"
"ABCB11","42","ABCB11","778","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=778"
"ABCB4","45","ABCB4","771","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=771"
"ABCB5","46","ABCB5","772","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=772"
"ABCB6","47","ABCB6","773","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=773"
"ABCB7","48","ABCB7","774","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=774"
"ABCB8","49","ABCB8","775","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=775"
