"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand","Ligand ID","Target","Target ID","Target Ligand","Target Ligand ID","Target Species","Type"
"asenapine","22","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"asenapine","22","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"apomorphine","33","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"apomorphine","33","D<sub>3</sub> receptor","216",,"0","Human","Synthetic organic"
"apomorphine","33","D<sub>4</sub> receptor","217",,"0","Human","Synthetic organic"
"aripiprazole","34","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"bromocriptine","35","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"bromocriptine","35","D<sub>3</sub> receptor","216",,"0","Human","Synthetic organic"
"bromocriptine","35","D<sub>4</sub> receptor","217",,"0","Human","Synthetic organic"
"buspirone","36","5-HT<sub>1A</sub> receptor","1",,"0","Human","Synthetic organic"
"cabergoline","37","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"clozapine","38","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"clozapine","38","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"eletriptan","40","5-HT<sub>1B</sub> receptor","2",,"0","Human","Synthetic organic"
"eletriptan","40","5-HT<sub>1D</sub> receptor","3",,"0","Human","Synthetic organic"
"eletriptan","40","5-HT<sub>1F</sub> receptor","5",,"0","Human","Synthetic organic"
"naratriptan","45","5-HT<sub>1B</sub> receptor","2",,"0","Human","Synthetic organic"
"naratriptan","45","5-HT<sub>1D</sub> receptor","3",,"0","Human","Synthetic organic"
"olanzapine","47","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"olanzapine","47","5-HT<sub>2C</sub> receptor","8",,"0","Human","Synthetic organic"
"olanzapine","47","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"quetiapine","50","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"quetiapine","50","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"rizatriptan","51","5-HT<sub>1B</sub> receptor","2",,"0","Human","Synthetic organic"
"rizatriptan","51","5-HT<sub>1D</sub> receptor","3",,"0","Human","Synthetic organic"
"sumatriptan","54","5-HT<sub>1B</sub> receptor","2",,"0","Human","Synthetic organic"
"sumatriptan","54","5-HT<sub>1D</sub> receptor","3",,"0","Human","Synthetic organic"
"ziprasidone","59","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"ziprasidone","59","5-HT<sub>2C</sub> receptor","8",,"0","Human","Synthetic organic"
"ziprasidone","59","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"zolmitriptan","60","5-HT<sub>1B</sub> receptor","2",,"0","Human","Synthetic organic"
"zolmitriptan","60","5-HT<sub>1D</sub> receptor","3",,"0","Human","Synthetic organic"
"chlorpromazine","83","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"haloperidol","86","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"haloperidol","86","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
