"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand ID","Ligand Name","Ligand Type","Ligand Species","Ligand UniProt ID","Ligand Ensembl Gene ID","Ligand Subunit ID","Ligand Subunit Name","Ligand Subunit UniProt ID","Ligand Subunit Ensembl ID","Target ID","Target Name","Target Species","Target UniProt ID","Target Ensembl Gene ID","Target Subunit ID","Target Subunit Name","Target Subunit UniProt ID","Target Subunit Ensembl ID","Rank Potency","Rank Potency Refs (PMIDs)","List Comment","Interaction Species","Interaction Parameter","Interaction Value","Interaction PubMed IDs"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","1","5-HT<sub>1A</sub> receptor","Human","P08908","ENSG00000178394","","","","","","","","Human","pKi","9.1 - 9.7","1386736|9760039|10431754|9550290|9205951|15628665"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","2","5-HT<sub>1B</sub> receptor","Human","P28222","ENSG00000135312","","","","","","","Endogenous ligand tryptamine is a weak agonist","Human","pKi","7.4 - 9.0","10431754|1565658|9208142|9776361|11040052|8957260"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","2","5-HT<sub>1B</sub> receptor","Human","P28222","ENSG00000135312","","","","","","","Endogenous ligand tryptamine is a weak agonist","Human","pKd","7.5 - 8.4","1565658|8863519"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","2","5-HT<sub>1B</sub> receptor","Mouse","P28334","ENSMUSG00000049511","","","","","","","Endogenous ligand tryptamine is a weak agonist","Mouse","pKi","8.1","1557407"
"125","tryptamine","Metabolite","","","","","","","","2","5-HT<sub>1B</sub> receptor","Human","P28222","ENSG00000135312","","","","","","","Endogenous ligand tryptamine is a weak agonist","Human","pKi","6.3","1565658"
"137","5-HT-moduline","Peptide","Human","","","","","","","2","5-HT<sub>1B</sub> receptor","Human","P28222","ENSG00000135312","","","","","","","Endogenous ligand tryptamine is a weak agonist","Human","pIC50","11.9","9774213"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","3","5-HT<sub>1D</sub> receptor","Human","P28221","ENSG00000179546","","","","","","","","Human","pKi","8.0 - 9.0","10431754|1565658|9208142|9776361|8957260|8967979|1652050"
"137","5-HT-moduline","Peptide","Human","","","","","","","3","5-HT<sub>1D</sub> receptor","Human","P28221","ENSG00000179546","","","","","","","","Human","pIC50","12.0","9774213"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","4","5-ht<sub>1e</sub> receptor","Human","P28566","ENSG00000168830","","","","","","","Endogenous ligand tryptamine is a weak agonist","Human","pKi","8.0 - 8.2","1608964|8380639|14744596|15110837"
"125","tryptamine","Metabolite","","","","","","","","4","5-ht<sub>1e</sub> receptor","Human","P28566","ENSG00000168830","","","","","","","Endogenous ligand tryptamine is a weak agonist","Human","pKi","5.6 - 6.5","8380639|14744596|15110837"
