"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID"
"12S-LOX","1387",,"ALOX12","P18054","ENSG00000108839",,"",,,,,"","Human","8752","ML355","Synthetic organic",,,,"252827410","false","Inhibitor","Inhibition","","Selective","false","true","","pIC50","","6.46999979019165","","IC50","","340.0","","=","","","","24393039"
"15-LOX-1","1388",,"ALOX15","P16050","ENSG00000161905",,"",,,,,"","Human","9141","PKUMDL_MH_1001","Synthetic organic",,,,"315661226","false","Allosteric modulator","Positive","","Not Determined","false","false","","pKd","","5.409999847412109","","Kd","","3900.0","","=","Determined by surface plasmon resonance (SPR)","","","26290290"
"15-LOX-1","1388",,"ALOX15","P16050","ENSG00000161905",,"",,,,,"","Human","8751","compound 34 [PMID: 20866075]","Synthetic organic",,,,"252827409","false","Inhibitor","Inhibition","","Selective","false","true","","pKi","","8.0","","Ki","","10.0","","<","","","","20866075"
"15-LOX-1","1388",,"ALOX15","P16050","ENSG00000161905",,"",,,,,"","Human","10263","ML351","Synthetic organic",,,,"381744944","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.699999809265137","","IC50","","200.0","","=","","","","24672829"
"15-LOX-1","1388",,"ALOX15","P16050","ENSG00000161905",,"",,,,,"","Human","11390","PD-146176","Synthetic organic",,,,"440816759","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","6.699999809265137","","-","","","","=","","","","9105693"
"15-LOX-2","1389",,"ALOX15B","O15296","ENSG00000179593",,"",,,,,"","Human","8750","compound 21n [PMID: 17656086]","Synthetic organic",,,,"252827408","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.289999961853027","","IC50","","51.0","","=","","","","17656086"
"15-LOX-2","1389",,"ALOX15B","O15296","ENSG00000179593",,"",,,,,"","Human","10264","MLS000536924","Synthetic organic",,,,"381744945","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","5.599999904632568","","Ki","","2500.0","","=","","","","25111178"
"3-Mercaptopyruvate sulfurtransferase","1446",,"MPST","P25325","ENSG00000128309",,"",,,,,"","Human","10210","I3MT-3","Synthetic organic",,,,"381744892","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.570000171661377","","IC50","","2700.0","","=","","","","28079151"
"3-phosphoinositide dependent protein kinase 1","1519",,"PDPK1","O15530","ENSG00000140992",,"",,,,,"","Human","7907","7-hydroxystaurosporine","Synthetic organic",,,,"249565590","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","7.480000019073486","","IC50","","33.0","","=","","","","11896604"
"3-phosphoinositide dependent protein kinase 1","1519",,"PDPK1","O15530","ENSG00000140992",,"",,,,,"","Human","8006","BX-795","Synthetic organic",,,,"249565686","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","7.960000038146973","","IC50","","11.0","","=","In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic","","","15772071"
