"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID"
"5-HT<sub>3</sub>A","379","373","HTR3A","P46098","ENSG00000166736",,"",,,,,"","Human","2284","1-phenylbiguanide","Synthetic organic",,,,"135649670","false","Agonist","Agonist","","Not Determined","false","false","","pKi","5.6","","4.7","-","","","","=","","","","7565620|9463477|11489465|7790853|8818349"
"5-HT<sub>3</sub>A","379","373","HTR3A","P46098","ENSG00000166736",,"",,,,,"","Human","2284","1-phenylbiguanide","Synthetic organic",,,,"135649670","false","Agonist","Agonist","","Selective","false","false","","pEC50","","4.1","","EC50","","80000.0","","=","","","","8848005"
"5-HT<sub>3</sub>A","379","373","HTR3A","P46098","ENSG00000166736",,"",,,,,"","Human","218","2-methyl-5-HT","Synthetic organic",,,,"135649706","false","Agonist","Agonist","","Selective","false","false","","pEC50","5.6","","5.5","EC50","3100.0","","2500.0","=","","","","9950429|8848005|7565620|9463477"
"5-HT<sub>3</sub>A","379","373","HTR3A","P46098","ENSG00000166736",,"",,,,,"","Human","218","2-methyl-5-HT","Synthetic organic",,,,"135649706","false","Agonist","Agonist","","Not Determined","false","false","","pKi","6.7","","6.0","-","","","","=","","","","7565620|9463477|8818349|11104834"
"5-HT<sub>3</sub>A","379","373","HTR3A","P46098","ENSG00000166736",,"",,,,,"","Human","5","5-hydroxytryptamine","Metabolite",,,,"135651413","false","Agonist","Agonist","","Not Determined","true","false","","pEC50","6.4","","5.5","-","","","","=","","","","9950429|8848005|7565620|10521471|9463477|16081679|10825381"
"5-HT<sub>3</sub>A","379","373","HTR3A","P46098","ENSG00000166736",,"",,,,,"","Human","5","5-hydroxytryptamine","Metabolite",,,,"135651413","false","Agonist","Agonist","","Not Determined","true","false","","pKi","6.9","","6.5","-","","","","=","","","","9463477|11489465|8818349|11104834"
"5-HT<sub>3</sub>A","379","373","Htr3a","P35563","ENSRNOG00000006595",,"",,,,,"","Rat","2287","<i>meta</i>-chlorphenylbiguanide","Synthetic organic",,,,"135650380","false","Agonist","Agonist","","Not Determined","false","false","","pEC50","6.9","","6.7","-","","","","=","","","","9756382|10204690"
"5-HT<sub>3</sub>A","379","373","Htr3a","P35563","ENSRNOG00000006595",,"",,,,,"","Rat","2287","<i>meta</i>-chlorphenylbiguanide","Synthetic organic",,,,"135650380","false","Agonist","Agonist","","Not Determined","false","false","","pKi","","9.0","","-","","","","=","","","","7565620|9517385"
"5-HT<sub>3</sub>A","379","373","HTR3A","P46098","ENSG00000166736",,"",,,,,"","Human","2287","<i>meta</i>-chlorphenylbiguanide","Synthetic organic",,,,"135650380","false","Agonist","Agonist","","Selective","false","false","","pEC50","5.8","","5.4","EC50","4000.0","","1600.0","=","","","","9950429|8848005|7565620|9463477|10204690"
"5-HT<sub>3</sub>A","379","373","HTR3A","P46098","ENSG00000166736",,"",,,,,"","Human","2287","<i>meta</i>-chlorphenylbiguanide","Synthetic organic",,,,"135650380","false","Agonist","Agonist","","Not Determined","false","false","","pKi","7.2","","6.6","-","","","","=","","","","7565620|9463477|11489465|8818349|11104834"
