"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand id","Name","Species","Type","PubChem SID","PubChem CID","ChEMBl ID","Chebi ID","UniProt id","Ensembl ID","IUPAC name","INN","CAS","DrugBank ID","Drug Central ID"
"6069","10,10-difluoro TXA<sub>2</sub>","","Synthetic organic","178102690","73755171","","","","","(Z)-7-[(1S,3R,4R,5R)-7,7-difluoro-3-[(E,3S)-3-hydroxyoct-1-enyl]-6-oxabicyclo[3.1.1]heptan-4-yl]hept-5-enoic acid","","121573-36-2","",""
"13409","10-Me-Aplog-1","","Synthetic organic","","60155209","CHEMBL2148108","","","","","","","",""
"1835","10-OBn-7&alpha;-F-gingkolide B","","Natural product","135652650","73755010","","","","","","","","",""
"1838","10-OBn-epi-ginkgolide C","","Natural product","135652651","73755013","","","","","","","","",""
"1836","10-OBn-ginkgolide B","","Natural product","135652652","73755011","","","","","","","","",""
"1837","10-OBn-ginkgolide C","","Natural product","135652653","73755012","","","","","","","","",""
"12425","1,10-Phenanthroline","","Synthetic organic","479821216","1318","CHEMBL415879","","","","1,10-phenanthroline","","66-71-7","DB02365",""
"5482","1-1-1-trichloroethane","","Synthetic organic","178102129","6278","CHEMBL16080","CHEBI:36015","","","1,1,1-trichloroethane","","71-55-6","",""
"4484","11-dehydro-thromboxane B<sub>2</sub>","","Metabolite","135651596","5280891","CHEMBL1405272","CHEBI:28667","","","(Z)-7-[(2R,3S,4S)-4-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-6-oxooxan-3-yl]hept-5-enoic acid","","67910-12-7","",""
"5100","11-deoxycortisol","","Metabolite","178101793","440707","CHEMBL253144","CHEBI:28324","","","(1S,2R,10R,11S,14R,15S)-14-hydroxy-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","cortodoxone","152-58-9","",""
"1925","11-deoxy-PGE<sub>1</sub>","","Metabolite","135651369","5283055","CHEMBL3246389","","","","7-[(1R,2R)-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]heptanoic acid","","37786-00-8","",""
"1945","11-deoxy-PGE<sub>2</sub>","","Synthetic organic","135649645","5283062","","CHEBI:386211","","","(Z)-7-[(1R,2R)-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid","","","",""
"6669","11-<i>cis</i>-retinal","","Metabolite","178103281","5280490","CHEMBL1255087","CHEBI:16066","","","(2E,4Z,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenal","","564-87-4","",""
"6670","11-<i>cis</i>-retinol","","Metabolite","178103282","5280382","","CHEBI:16302","","","(2E,4Z,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraen-1-ol","","22737-96-8","",""
"4701","1,2,3-benzenetricarboxylic acid","","Synthetic organic","178101413","11288","CHEMBL1161013","","","","benzene-1,2,3-tricarboxylic acid","","569-51-7","",""
"2779","1,25-dihydroxyvitamin D3","","Metabolite","135651370","5280453","CHEMBL846","CHEBI:17823","","","(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol","calcitriol","32222-06-3","DB00136","466"
"4072","(12E,20Z,18S)-8-hydroxyvariabilin","","Synthetic organic","178100895","54726845","CHEMBL464651","","","","(5Z)-5-[(2S,6E)-13-(furan-3-yl)-10-hydroxy-2,6,10-trimethyltridec-6-en-1-ylidene]-4-hydroxy-3-methyl-2,5-dihydrofuran-2-one","","","",""
"6160","12-epi LTB<sub>4</sub>","","Metabolite","178102781","5283130","CHEMBL1742496","CHEBI:72795","","","(5S,6Z,8E,10E,12S,14Z)-5,12-dihydroxyicosa-6,8,10,14-tetraenoic acid","","83709-73-3","",""
