"## GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand ID","Ligand Name","HBond Acceptors","HBond Donors","Rotatable Bonds","TPSA","Mol Weight","XLogP","LipinskiRO5"
"13430","punicalagin","30","17","0","510.94000000000017","1084.719811980027","4.083","3"
"13429","TYK2 inhibitor 18 [WO2023227946]","10","2","7","114.11999999999999","446.5058207370211","1.7169999999999999","0"
"13428","cresomycin","8","5","5","145.58","498.67783005290926","2.151","0"
"13427","mebendazole","6","2","5","79.78999999999999","295.2933285521593","1.9240000000000002","0"
"13426","sofpironium","5","1","9","72.83","390.4940216966441","2.101","0"
"13425","PSB-KK1415","8","2","6","80.28","462.9322655364439","1.9030000000000005","0"
"13424","PSB-KK1445","8","2","6","80.28","446.4777311782599","1.4420000000000002","0"
"13423","compound XVI [PMID: 38863440]","5","0","4","36.02000000000001","339.4321562576514","1.9260000000000002","0"
"13422","P2Y<sub>14</sub>R antagonist I-17","5","2","5","62.72","346.17877494482616","1.611","0"
"13421","oridonin derivative 32 [PMID: 38751194]","7","3","4","113.29","418.48098273388325","0.6160000000000005","0"
"13420","BIIB129","8","0","6","73.10000000000001","366.4177077204941","2.081","0"
"13419","AZD0780","8","2","7","90.67999999999999","414.40936854963047","0.8990000000000005","0"
"13418","APC148","11","5","14","161.78000000000003","511.5711237933352","-4.694","3"
"13417","auriclosene","4","1","3","65.99","222.09128851073427","1.053","0"
"13416","NL13","3","0","4","37.38","400.2984522705686","2.511","0"
"13415","ML211","6","1","6","68.5","418.5322427177563","5.129000000000002","1"
"13414","Palmostatin B","4","0","14","44.760000000000005","376.53041247413","6.498999999999997","2"
"13413","ML349","6","0","4","100.6","454.56481832071677","1.263","0"
"13412","ML348","6","1","7","61.879999999999995","415.79471059922247","1.226","0"
"13411","PF-06648671","7","0","5","65.45","538.9226128267292","3.012","1"
"13410","lolamicin","5","1","5","69.77000000000001","380.44269435514093","2.452000000000001","0"
"13409","10-Me-Aplog-1","8","2","6","111.52000000000002","504.61347468365045","3.5509999999999993","1"
"13408","Teleocidin B4","5","3","4","64.60000000000001","451.645095493168","6.240000000000001","1"
"13407","phytocannabinoid 6 [PMID: 38408345]","3","3","10","60.69","332.4777727376814","4.676999999999998","0"
"13406","cannabigeroquinone","3","1","9","54.37","330.46189123002983","5.917","1"
"13405","jobosic acid","2","1","12","37.3","256.4246883261721","7.2330000000000005","2"
"13404","sulfolipid 2 [PMID: 27827845]","12","4","38","194.49999999999997","819.1399664841651","13.255000000000003","4"
"13401","QP5038","5","0","3","54.989999999999995","361.41618816424375","1.649","0"
"13400","QP5020","6","0","3","67.35","362.40421472066595","2.736","0"
"13399","SEN177","6","0","3","55.92","338.3827429270899","2.1850000000000005","0"
"13398","BI-43","8","2","5","95.39","465.5042373691572","0.7920000000000006","0"
"13397","varoglutamstat","6","2","5","65.96","336.38841979877054","1.495","0"
"13395","atoxifent","3","1","5","26.71","322.4447247736598","3.853","0"
"13394","YTHDC1 inhibitor 40","5","2","3","61.14","308.1663061418757","2.041","0"
"13393","GB1908","9","3","6","170.07000000000005","505.39806231948313","0.982","1"
"13392","BPAM344","4","1","1","57.79","242.27141174221242","0.8599999999999999","0"
"13391","LM11A-31","5","2","7","67.59","243.34626908334755","-0.19100000000000006","0"
"13390","XPC-7224","7","1","7","85.75","483.6034341378304","1.8720000000000003","0"
"13389","XPC-7198","6","1","7","98.69","492.6079843349533","2.9619999999999993","0"
"13388","XPC-6591","6","1","7","104.67999999999999","493.5927453016607","3.1940000000000004","0"
"13387","XPC-5462","6","2","8","107.47999999999999","486.5090570539829","1.2750000000000001","0"
"13386","XPC-4509","6","1","7","98.69","481.0092838842581","2.884","0"
"13385","AZD8421","11","4","10","142.39999999999998","440.5652756966433","-0.016000000000000125","1"
"13384","amelenodor","6","0","6","64.77","399.4427417570697","2.0370000000000004","0"
"13383","survodutide","108","62","185","1753.3299999999986","4231.634921351382","-15.062000000000001","4"
"13382","Mpro inhibitor 13b","12","4","17","163.01","593.6718527277992","2.0280000000000005","3"
"13381","MG-101","7","3","16","104.37","383.5262551586997","3.7939999999999996","1"
"13380","LLC0424","16","4","13","203.62999999999997","823.8502530596932","-0.23099999999999987","2"
"13378","compound 84 [PMID: 38753594]","9","1","7","131.28","566.0731045338655","1.8740000000000006","1"
"13376","piperlongumine","6","0","6","65.07000000000001","317.3371124129689","1.1","0"
"13375","RO7075573","11","6","9","192.27","739.7596860411045","1.7780000000000007","3"
"13373","CVN293","5","1","3","100.28999999999999","311.2744406901112","2.2780000000000005","0"
"13372","tavapadon","6","1","4","70.99999999999999","391.34456816400086","1.6110000000000002","0"
"13371","BDTX-1535","8","2","7","81.56","561.0506694139523","0.7690000000000001","1"
"13370","NST-628","9","2","7","126.82999999999998","488.465852197229","0.15600000000000042","0"
"13369","KT-333","24","9","29","383.98","1257.7832548479407","-0.5999999999999976","4"
"13368","RMC-6236","13","2","8","156.70999999999998","811.04967846774","5.083000000000001","3"
"13367","IAG933","7","3","8","92.18","529.9638021623158","1.2720000000000002","1"
"13366","foselutoclax","16","5","21","261.22999999999996","1159.6919393706926","6.877999999999999","4"
"13365","compound 4d [PMID: 38746883]","7","3","12","104.37","445.52789819672273","2.0520000000000005","0"
"13364","EP26","9","2","17","94.93","737.2595975899537","6.196000000000004","3"
"13363","cinchonine","3","1","3","35.83","294.39148996478065","1.3930000000000002","0"
"13360","BRD1158","5","1","5","76.14","328.38726849642666","0.486","0"
"13359","compound 43 [PMID: 34781683]","5","3","9","82.4","442.556980101047","1.7390000000000008","0"
"13358","iCARM1","6","0","6","43.67000000000001","391.51012844982114","1.4679999999999995","0"
"13357","urapidil","8","1","7","68.36000000000001","387.47673061459597","1.0479999999999998","0"
"13356","rilmenidine","3","1","4","33.620000000000005","180.24722237073408","1.6539999999999997","0"
"13355","BIO-8169","9","1","7","95.83000000000001","449.5031976216657","1.8839999999999997","0"
"13354","sonrotoclax","11","4","14","187.11999999999998","890.1034053536087","7.464999999999999","4"
"13353","VVD-133214","7","1","9","105.57","437.46209453052495","1.7530000000000001","0"
"13351","Ru360","1","10","2","230.34999999999997","390.40407243169847","-0.8500000000000001","1"
"13350","Ru265","1","8","1","233.47999999999996","423.28667299709116","1.175","1"
"13349","MPD2","19","5","29","253.94","973.1199852969589","3.878999999999997","3"
"13348","AZ1","6","0","5","69.31","453.47976947356943","1.311","0"
"13347","compound 17 [PMID: 38325398]","9","2","8","118.33999999999999","488.52884696701835","1.3409999999999997","0"
"13346","compound 17 [PMID: 38477582]","8","2","5","109.03000000000002","467.4688361187932","2.735","0"
"13345","JNJ-6204","7","1","2","73.94","364.3770022437957","1.0510000000000002","0"
"13343","NMD670","3","1","4","68.12","312.11608918787744","2.2150000000000003","0"
"13341","BIO-7488","10","1","6","103.48","447.4905817037288","1.3750000000000004","0"
"13340","HC-7366","10","2","7","133.2","508.88749720686235","0.6439999999999999","1"
"13339","CRN04894","8","1","11","77.47999999999999","613.714736732575","4.431999999999999","1"
"13338","NT-0249","9","2","8","111.72","459.56369232877927","2.87","0"
"13337","ACT-1016-0707","8","2","7","122.47","438.9300744866088","1.3009999999999988","0"
"13336","TYA-018","7","0","7","117.37","434.8712098666673","2.902","0"
"13335","CT1812","5","1","7","75.22","431.5901143095145","2.684","0"
"13333","ACHN-975","5","5","7","124.68","369.41508460513853","0.5449999999999999","0"
"13332","JEDI-852","8","1","7","120.62","451.5625410264355","1.0700000000000005","0"
"13329","filapixant","8","1","9","113.18","521.5571465933086","0.30299999999999994","1"
"13328","RelA inhibitor A55","7","3","3","120.93","226.18646166126888","-0.877","0"
"13327","compound 11 [PMID: 30694059]","6","4","7","107.22000000000001","394.4180517757075","2.2840000000000007","0"
"13326","compound 28.1 [PMID: 36847646]","7","2","4","85.86","321.2611063057538","0.6170000000000001","0"
"13325","3-AESA","4","3","3","83.55000000000001","181.1888893529199","0.14300000000000002","0"
"13324","LDC7559","6","1","4","63.160000000000004","349.38391666226613","1.5940000000000003","0"
"13323","exeporfinium","6","2","12","67.24","694.9084462473157","3.696000000000001","2"
"13322","Sanglifehrin A","18","9","15","273.38999999999993","1090.3925424990077","6.237000000000002","5"
"13321","MDOLL-0229","6","2","6","118.00000000000001","393.498931126977","3.2889999999999993","0"
"13320","TNG908","7","2","5","125.44999999999999","409.50650205389786","0.6290000000000002","0"
"13319","RS-2","3","2","2","49.69","362.4623359050905","4.55","0"
"13318","RS-1","3","2","2","49.69","362.4623359050905","4.55","0"
"13317","sinefungin","12","6","7","205.37","381.387622876912","-5.2090000000000005","2"
"13315","taspoglutide","85","49","138","1377.0399999999995","3339.7154612214276","-11.565999999999992","4"
"13314","RVT-1502","7","3","14","120.95","702.9034342828268","7.811000000000003","3"
"13313","PLG0206","91","67","149","1573.4099999999983","3400.1132512633085","-3.4270000000000045","4"
"13312","spiramycin","16","4","11","195.38","843.054334745035","1.9289999999999998","3"
"13311","puromycin","12","4","9","157.6","471.5104186773827","-1.2759999999999998","1"
"13310","compound 20j [PMID: 38564512]","7","0","5","60.74000000000001","505.6113020593461","2.7050000000000005","1"
"13309","ganetespib","7","3","3","88.4","364.39856062312793","3.012","0"
"13308","SI-10","6","1","2","64.71","302.2826172831574","2.325","0"
"13307","govorestat","6","1","5","132.92999999999998","425.407621833546","1.727000000000001","0"
"13306","roluperidone","4","0","5","40.620000000000005","366.4294465565398","1.1260000000000003","0"
"13303","GLPG3312","8","1","8","78.76","453.4422187143537","3.1609999999999996","0"
"13302","UNC8969","10","4","10","119.45","535.6820491456695","2.145000000000001","1"
"13301","CBPD-409","15","1","9","144.77999999999997","862.9676335993954","2.8200000000000007","2"
"13300","MS31","5","2","8","73.74","341.448037765303","-0.08300000000000005","0"
"13299","MS8535","8","1","11","64.92999999999999","490.6413828527986","1.8950000000000002","1"
"13298","BAY-593","5","1","7","50.8","476.53212754186757","3.217","0"
"13297","BLU-222","9","2","6","95.2","365.3385700112492","1.7349999999999999","0"
"13296","TNG348","10","1","9","104.60000000000001","603.5226596621625","3.9920000000000004","1"
"13295","SGR-1505","10","1","5","100.61999999999999","481.7948194371708","2.534","0"
"13294","ORIC-533","18","7","12","257.18","605.9266722163401","-2.277","4"
"13292","compound 16 [PMID: 38526960]","6","1","3","101.57999999999998","475.38442163918916","2.2450000000000006","0"
"13291","ACT001","4","1","2","49.769999999999996","293.4018285884365","0.845","0"
"13290","GLPG2737","11","1","9","118.52999999999999","613.7487374292389","1.9349999999999994","2"
"13289","CM-272","7","1","9","58.56000000000001","478.6273813662959","2.753","0"
"13288","MS8709","18","5","36","230.43","1200.5739302113004","7.519999999999999","4"
"13287","TM39875","6","1","6","73.21","538.3979044744152","3.4190000000000005","1"
"13286","ST-2560","14","8","7","199.40999999999997","562.6245066239901","2.663","3"
"13285","PF-07957472","7","1","6","63.540000000000006","480.60506929906245","1.9919999999999995","0"
"13284","compound 12 [PMID: 38150587]","7","2","10","86.16","507.62718356699764","1.267","1"
"13283","safranal","1","0","1","17.07","150.21793444901047","2.45","0"
"13282","(E)-beta-caryophyllene","0","0","0","0","204.35161654363895","6.044000000000002","1"
"13281","spinosin","15","9","7","245.28999999999996","608.5457831460295","-1.9230000000000003","3"
"13280","oleandomycin","13","3","6","165.98000000000002","687.8597047088213","0.6959999999999997","2"
"13279","INS018_055","8","2","7","75.57","487.5728224248708","2.5470000000000006","0"
"13278","&alpha;-asarone","3","0","4","27.69","208.2540976053768","2.436","0"
"13277","kaempferitrin","14","8","5","225.05999999999997","578.5197608140207","-0.14899999999999985","3"
"13276","enviomycin","23","15","12","392.8599999999999","685.6910408013705","-4.550999999999998","3"
"13275","HC-5404","7","4","8","116.81","454.4700736655831","0.32000000000000023","0"
"13273","AZD5462","8","3","11","113.95999999999998","544.6558870099853","4.3020000000000005","1"
"13272","EPI-589","5","2","4","97.46000000000001","265.3054997950356","-1.158","0"
"13271","NPT520-34","5","1","4","102.24000000000001","419.83174193675876","3.0460000000000003","0"
"13270","clamikalant","8","2","11","134.20000000000002","470.97297969252844","0.752","0"
"13269","PNU-37883","4","1","4","36.86","345.52289476512783","4.83","0"
"13268","IPL344","16","5","21","222.98999999999998","795.9661245490571","-0.7529999999999992","3"
"13267","compound 12k [PMID: 31676236]","5","2","6","51.1","446.97268900368147","1.5030000000000006","0"
"13266","K02288","6","2","5","86.3","352.3845591366252","1.3470000000000004","0"
"13265","PF06260933","4","2","2","76.75999999999999","296.7547545546712","-0.006999999999999895","0"
"13264","dazucorilant","7","0","6","90.78999999999999","582.5707630749093","1.559","1"
"13263","icerguastat","4","2","2","76.75999999999999","196.63710436506412","1.466","0"
"13262","SPG302","6","1","13","94.81000000000002","403.49378551611346","0.25100000000000006","1"
"13261","AGS-499","9","3","15","116.07000000000002","570.6717047060234","6.29","3"
"13260","utreloxastat","2","0","8","34.14","276.41439710444496","4.943","0"
"13259","compound 16 [PMID: 38385364]","14","2","9","159.51000000000002","722.8803894466588","2.121","2"
"13258","bevemipretide","11","7","19","228.82000000000005","607.7480952961898","0.8349999999999999","4"
"13256","capreomycin IB","21","13","11","358.18999999999994","652.7074699795241","-3.7430000000000008","3"
"13255","ZLN005","2","1","2","24.39","250.33885022833212","3.8310000000000004","0"
"13254","crisdesalazine","4","3","6","69.56","325.28307255191316","2.5869999999999997","0"
"13252","viomycin","23","15","12","392.85999999999996","685.6910408013706","-4.055999999999997","3"
"13251","GT-1","17","8","16","380.7","808.2018606665446","-4.206000000000001","4"
"13250","SPR741","26","16","21","429.74999999999994","992.1314602378238","-1.3079999999999998","4"
"13249","ERD-3111","13","2","8","137.97","854.8926532055806","1.8269999999999995","2"
"13248","ARD-1676","12","1","7","137.36999999999998","788.3345387999406","2.4950000000000014","2"
"13247","GNE-049","8","0","5","63.980000000000004","510.5798088730559","2.7079999999999997","1"
"13246","TX-16","7","1","1","86.78999999999999","313.3086149873804","-1.764","0"
"13245","CBPD-268","14","1","8","141.54","819.8997548296543","1.8720000000000003","2"
"13242","N-methyllaurotetanine","5","1","3","51.16000000000001","341.40167819106676","1.168","0"
"13241","QPX7831","6","1","6","82.06","322.093951386849","1.4609999999999999","0"
"13240","9-hydroxystearic acid","3","2","16","57.53","300.4773280626206","6.6229999999999976","2"
"13236","&alpha;-humulene","0","0","0","0","204.35161654363893","5.940000000000001","1"
"13235","(R)-asimilobine","3","2","1","41.489999999999995","267.3230161226091","1.2930000000000001","0"
"13234","neferine","8","1","10","72.86000000000001","624.7671932257665","2.806000000000001","1"
"13233","flezurafenib","7","2","4","84.31","456.4693199776816","0.9150000000000005","0"
"13232","glovadalen","6","2","5","76.37","476.39626143639236","1.5630000000000004","0"
"13231","lirodegimod","24","9","29","383.97999999999996","1257.7832548479407","-0.5999999999999994","4"
"13230","BBC0403","7","1","5","78.38000000000001","382.41058146863435","1.1179999999999999","0"
"13229","cligosiban","8","0","7","71.25","419.837927977734","3.3260000000000005","0"
"13228","M201-A","5","0","7","69.06","440.6002077319432","1.4589999999999999","0"
"13227","ofirnoflast","7","3","8","116.69999999999999","501.4371451332045","2.174","1"
"13226","pudafensine","5","1","3","56.790000000000006","303.3535889930511","1.2890000000000006","0"
"13225","suvadronabinol","7","2","13","101.93","513.6666620906011","5.743000000000001","3"
"13224","zavolosotine","6","2","6","94.50999999999999","439.38258856737355","2.079","0"
"13223","imocitrelvir","10","3","14","155.49999999999997","523.5387657056016","0.871","2"
"13222","privosegtor","9","2","17","116.04999999999998","491.5996850305374","-0.8939999999999999","1"
"13221","zemprocitinib","7","2","5","94.53999999999999","345.4210595546547","1.2439999999999998","0"
"13220","vilzemetkib","9","3","14","110.28","642.6930033280871","4.139000000000001","2"
