"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID"
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","7849","andarine","Synthetic organic",,,,"223366179","false","Agonist","Agonist","","Not Determined","false","true","","pKi","","8.399999618530273","","Ki","","4.0","","=","","","","19432422"
"Androgen receptor","628",,"Ar","P15207","ENSRNOG00000005639",,"",,,,,"","Rat","2860","androstenedione","Metabolite",,,,"135649946","false","Agonist","Agonist",,"Selective","false","false","","pIC50","","8.56","",,"","","",,,,,"14565775"
"Androgen receptor","628",,"Ar","P15207","ENSRNOG00000005639",,"",,,,,"","Rat","6942","danazol","Synthetic organic",,,,"178103524","true","Agonist","Agonist","","Non-selective","false","true","","pKi","","8.0","","Ki","","10.0","","=","","","","7355922"
"Androgen receptor","628",,"Ar","P15207","ENSRNOG00000005639",,"",,,,,"","Rat","2856","dihydrotestosterone","Metabolite",,,,"135651474","false","Agonist","Agonist",,"Selective","true","false","","pIC50","","8.65","",,"","","",,,,,"14565775"
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","2856","dihydrotestosterone","Metabolite",,,,"135651474","false","Agonist","Agonist","","Not Determined","true","false","","pKd","","9.3","","Kd","","0.5","","=","","","","2911578"
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","6947","dromostanolone propionate","Synthetic organic",,,,"178103529","true","Agonist","Agonist","","Selective","false","true","","-","","","","-","","","","=","","","",
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","6948","ethylestrenol","Synthetic organic",,,,"178103530","true","Agonist","Agonist","","Non-selective","false","true","","-","","","","-","","","","=","","","",
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","2861","fluoxymesterone","Synthetic organic",,,,"135650271","true","Agonist","Agonist","","Selective","false","true","","pKi","","8.239999771118164","","Ki","","5.699999809265137","","=","","","","17439112"
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","11151","GSK2881078","Synthetic organic",,,,"434122211","false","Agonist","Agonist","","Selective","false","false","","pEC50","","8.399999618530273","","EC50","","3.990000009536743","","=","Measuring stimulation of reporter gene transactivation in PC3(AR)2 cells.","","","30825507"
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","2857","methyltrienolone","Synthetic organic",,,,"135650595","false","Agonist","Agonist","","Selective","false","false","","pEC50","","5.0","","EC50","","10000.0","",">","","","","10076535"
"Androgen receptor","628",,"Ar","P15207","ENSRNOG00000005639",,"",,,,,"","Rat","2857","methyltrienolone","Synthetic organic",,,,"135650595","false","Agonist","Agonist","","Selective","false","false","","pIC50","","8.510000228881836","","-","","","","=","","","","14565775"
"Androgen receptor","628",,"Ar","P15207","ENSRNOG00000005639",,"",,,,,"","Rat","2859","mibolerone","Synthetic organic",,,,"135650607","false","Agonist","Agonist","","Selective","false","false","","pIC50","","8.800000190734863","","-","","","","=","","","","14565775"
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","2859","mibolerone","Synthetic organic",,,,"135650607","false","Agonist","Agonist","","Selective","false","false","","pIC50","","8.960000038146973","","IC50","","1.100000023841858","","=","","","","10852459"
"Androgen receptor","628",,"AR","P10275","ENSG00000169083",,"",,,,,"","Human","6949","nandrolone","Synthetic organic",,,,"178103531","true","Agonist","Agonist","","Non-selective","false","true","","-","","","","-","","","","=","","","",
