"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID"
"4F2hc","890",,"SLC3A2","P08195","ENSG00000168003",,"",,,,,"","Human","8737","IGN523","Antibody",,,,"252827395","false","Antibody","Binding","","Selective","false","true","","pKd","","8.890000343322754","","Kd","","1.2999999523162842","","=","","","",
"ABCA1","756",,"ABCA1","O95477","ENSG00000165029",,"",,,,,"","Human","7277","probucol","Synthetic organic",,,,"178103851","true","Inhibitor","Inhibition","","Selective","false","true","","-","","","","-","","","","=","Inhibition of cholesterol efflux from normal human skin fibroblasts, but not from fibroblasts negative in ABCA1.","","","15514211|15140889"
"ABCA1","756",,"ABCA1","O95477","ENSG00000165029",,"",,,,,"","Human","9183","bihelical apoA-I mimetic peptide 5A","Peptide",,,,"315661263","false","None","Binding","The 5A sequence was able to solubilize phospholipid vesicles and stimulated cholesterol and phospholipid efflux by the ABCA1 transporter with high specificity but no specific binding data was reported","Selective","false","false","","-","","","","-","","","","=","","","","18805791"
"ABCB1","768",,"ABCB1","P08183","ENSG00000085563",,"",,,,,"","Human","10372","compound 14 [PMID: 30925062]","Synthetic organic",,,,"384403652","false","Inhibitor","Competitive","","Not Determined","false","false","","pIC50","","5.760000228881836","","IC50","","1730.0","","=","Measuring inhibition of calcein AM transport in A2780/ADR cells expressing hABCB1.","","","30925062"
"ABCB1","768",,"ABCB1","P08183","ENSG00000085563",,"",,,,,"","Human","10372","compound 14 [PMID: 30925062]","Synthetic organic",,,,"384403652","false","Inhibitor","Competitive","","Not Determined","false","false","","pIC50","","6.170000076293945","","IC50","","676.0","","=","Measuring inhibition of cyclosporine A transport in A2780/ADR cells expressing hABCB1.","","","30925062"
"ABCB1","768",,"ABCB1","P08183","ENSG00000085563",,"",,,,,"","Human","11741","biricodar","Synthetic organic",,,,"458923776","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.300000190734863","","IC50","","5000.0","","=","","","","11844674"
"ABCB1","768",,"ABCB1","P08183","ENSG00000085563",,"",,,,,"","Human","12787","encequidar","Synthetic organic",,,,"483123335","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.28000020980835","","IC50","","53.0","","=","Inhibition of P-gp-mediated paclitaxel efflux from Caco-2 cells","","","33729781"
"ABCB1","768",,"Abcb1a","P21447","ENSMUSG00000040584",,"",,,,,"","Mouse","11787","tariquidar","Synthetic organic",,,,"458923822","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.420000076293945","","IC50","","38.0","","=","Measuring the effect of XR9576 on accumulation of [3H] daunorubicin in the multidrug resistant mouse mammary carcinoma cell line EMT6/AR1.0","","","10098671"
"ABCB1","768",,"ABCB1","P08183","ENSG00000085563",,"",,,,,"","Human","11745","valspodar","Peptide",,,,"458923780","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","5.889999866485596","","Ki","","1300.0","","=","","","","10198227"
"ABCB1","768",,"ABCB1","P08183","ENSG00000085563",,"",,,,,"","Human","11786","WS-898","Synthetic organic",,,,"458923821","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.300000190734863","","IC50","","5.0","","=","","","","34723530"
"ABCB1","768",,"ABCB1","P08183","ENSG00000085563",,"",,,,,"","Human","11788","zosuquidar","Synthetic organic",,,,"458923823","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","7.230000019073486","","Ki","","59.0","","=","","","","10411602"
