"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID"
"5-HT<sub>1A</sub> receptor","1",,"Htr1a","P19327","ENSRNOG00000010254",,"",,,,,"","Rat","10446","avitriptan","Synthetic organic",,,,"385612206","false","Agonist","Agonist","","Not Determined","false","false","","pKi","","7.150000095367432","","Ki","","70.80000305175781","","=","","","","9050026"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","8182","flibanserin","Synthetic organic",,,,"249565862","true","Agonist","Agonist","","Not Determined","false","true","","pKi","","9.0","","Ki","","1.0","","=","","","","12177684"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","7191","frovatriptan","Synthetic organic",,,,"178103766","true","Agonist","Agonist","","Not Determined","false","false","","pKi","","7.21999979019165","","Ki","","60.0","","=","","","","9986723"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","8434","LP-12","Synthetic organic",,,,"252166644","false","Agonist","Agonist","","Not Determined","false","false","","pKi","","7.21999979019165","","Ki","","60.900001525878906","","=","","","","17649988"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","8436","LP-211","Synthetic organic",,,,"252166646","false","Agonist","Agonist","","Not Determined","false","false","","pKi","","6.730000019073486","","Ki","","188.0","","=","","","","18800769"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","8435","LP-44","Synthetic organic",,,,"252166645","false","Agonist","Agonist","","Not Determined","false","false","","pKi","","7.28000020980835","","Ki","","52.70000076293945","","=","","","","17649988"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","10454","ulotaront","Synthetic organic",,,,"385612214","false","Agonist","Agonist","","Not Determined","false","false","","pIC50","","5.639999866485596","","IC50","","2300.0","","=","","","","31371483"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","3","1-naphthylpiperazine","Synthetic organic",,,,"135649669","false","Agonist","Full agonist",,,"false","false","","pKi","","8.0","",,"","","",,,,,"9397179"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","4","5-CT","Synthetic organic",,,,"135649828","false","Agonist","Full agonist",,,"false","false","","pKi","10.3","","9.4",,"","","",,,,,"1386736|9760039|9550290|9205951"
"5-HT<sub>1A</sub> receptor","1",,"HTR1A","P08908","ENSG00000178394",,"",,,,,"","Human","5","5-hydroxytryptamine","Metabolite",,,,"135651413","false","Agonist","Full agonist",,,"true","false","","pKi","9.7","","9.1",,"","","",,,,,"1386736|9760039|10431754|9550290|9205951|15628665"
